date,ticker,qty,order
2020-05-04,XLV,113,SELL
2020-05-04,XLF,6,SELL
2020-05-04,TLT,37,BUY
2020-05-11,XLU,40,BUY
2020-05-11,XLK,30,BUY
2020-05-11,XLB,48,BUY
2020-05-11,XLP,222,BUY
2020-05-11,XLY,21,SELL
2020-05-11,XLV,11,BUY
2020-05-11,XLF,248,SELL
2020-05-11,TLT,177,SELL
2020-05-18,XLU,179,BUY
2020-05-18,XLK,7,BUY
2020-05-18,XLB,3,SELL
2020-05-18,XLP,124,BUY
2020-05-18,XLY,8,BUY
2020-05-18,XLV,166,SELL
2020-05-18,TLT,1,BUY
2020-05-25,XLU,94,SELL
2020-05-25,XLK,77,SELL
2020-05-25,XLB,83,BUY
2020-05-25,XLP,112,SELL
2020-05-25,XLY,254,BUY
2020-05-25,XLV,12,BUY
2020-05-25,TLT,191,SELL
2020-06-01,XLU,60,SELL
2020-06-01,XLK,144,SELL
2020-06-01,XLB,98,BUY
2020-06-01,XLP,151,BUY
2020-06-01,XLY,372,BUY
2020-06-01,XLV,415,SELL
2020-06-01,TLT,10,SELL
2020-06-08,XLU,61,SELL
2020-06-08,XLK,17,SELL
2020-06-08,XLB,436,BUY
2020-06-08,XLP,157,SELL
2020-06-08,XLY,180,SELL
2020-06-08,XLV,125,SELL
2020-06-08,XLF,230,BUY
2020-06-08,TLT,157,BUY
2020-06-15,XLU,24,SELL
2020-06-15,XLK,185,SELL
2020-06-15,XLB,52,BUY
2020-06-15,XLP,46,SELL
2020-06-15,XLY,94,SELL
2020-06-15,XLV,113,BUY
2020-06-15,XLF,28,BUY
2020-06-15,TLT,324,BUY
2020-06-22,XLU,81,SELL
2020-06-22,XLK,56,SELL
2020-06-22,XLB,32,SELL
2020-06-22,XLP,95,SELL
2020-06-22,XLY,126,SELL
2020-06-22,XLV,280,BUY
2020-06-22,XLF,7,BUY
2020-06-22,TLT,22,BUY
2020-06-29,XLU,106,BUY
2020-06-29,XLK,30,SELL
2020-06-29,XLB,95,SELL
2020-06-29,XLP,11,BUY
2020-06-29,XLY,72,SELL
2020-06-29,XLV,35,BUY
2020-06-29,XLF,25,SELL
2020-06-29,TLT,87,BUY
2020-07-06,XLU,116,SELL
2020-07-06,XLK,97,BUY
2020-07-06,XLB,57,SELL
2020-07-06,XLP,43,SELL
2020-07-06,XLY,191,SELL
2020-07-06,XLV,105,SELL
2020-07-06,XLF,91,BUY
2020-07-06,TLT,130,BUY
2020-07-13,XLU,139,BUY
2020-07-13,XLK,40,BUY
2020-07-13,XLB,55,SELL
2020-07-13,XLP,84,SELL
2020-07-13,XLY,68,SELL
2020-07-13,XLV,175,BUY
2020-07-13,XLF,10,SELL
2020-07-13,TLT,117,SELL
2020-07-20,XLU,178,SELL
2020-07-20,XLK,38,BUY
2020-07-20,XLB,136,SELL
2020-07-20,XLP,140,SELL
2020-07-20,XLY,75,BUY
2020-07-20,XLV,83,BUY
2020-07-20,XLF,90,BUY
2020-07-20,TLT,41,SELL
2020-07-27,XLU,14,SELL
2020-07-27,XLK,55,SELL
2020-07-27,XLB,40,BUY
2020-07-27,XLP,434,BUY
2020-07-27,XLY,147,SELL
2020-07-27,XLV,153,SELL
2020-07-27,XLF,166,BUY
2020-07-27,TLT,32,SELL
2020-08-03,XLU,60,SELL
2020-08-03,XLK,57,SELL
2020-08-03,XLB,39,BUY
2020-08-03,XLP,6,BUY
2020-08-03,XLY,38,BUY
2020-08-03,XLV,72,BUY
2020-08-03,XLF,118,SELL
2020-08-03,TLT,3,BUY
2020-08-10,XLU,51,SELL
2020-08-10,XLK,92,BUY
2020-08-10,XLB,122,SELL
2020-08-10,XLP,129,SELL
2020-08-10,XLY,260,SELL
2020-08-10,XLI,65,BUY
2020-08-10,XLV,591,BUY
2020-08-10,XLF,119,BUY
2020-08-10,TLT,161,SELL
2020-08-17,XLU,117,SELL
2020-08-17,XLK,16,BUY
2020-08-17,XLB,200,BUY
2020-08-17,XLP,159,BUY
2020-08-17,XLY,27,BUY
2020-08-17,XLI,388,BUY
2020-08-17,XLV,307,SELL
2020-08-17,XLF,346,BUY
2020-08-17,TLT,129,SELL
2020-08-24,XLU,261,BUY
2020-08-24,XLK,201,BUY
2020-08-24,XLB,639,BUY
2020-08-24,XLP,297,SELL
2020-08-24,XLY,365,SELL
2020-08-24,XLI,167,BUY
2020-08-24,XLV,198,SELL
2020-08-24,XLF,296,BUY
2020-08-24,TLT,133,SELL
2020-08-31,XLU,121,BUY
2020-08-31,XLK,143,SELL
2020-08-31,XLB,204,SELL
2020-08-31,XLP,13,BUY
2020-08-31,XLY,73,BUY
2020-08-31,XLI,58,BUY
2020-08-31,XLV,427,BUY
2020-08-31,XLF,87,SELL
2020-08-31,TLT,254,SELL
2020-09-07,XLU,324,BUY
2020-09-07,XLK,216,SELL
2020-09-07,XLB,10,BUY
2020-09-07,XLP,265,BUY
2020-09-07,XLY,190,BUY
2020-09-07,XLI,221,BUY
2020-09-07,XLV,264,BUY
2020-09-07,XLF,222,SELL
2020-09-07,TLT,563,SELL
2020-09-14,XLU,125,SELL
2020-09-14,XLK,71,SELL
2020-09-14,XLB,16,BUY
2020-09-14,XLP,21,BUY
2020-09-14,XLY,23,BUY
2020-09-14,XLI,184,BUY
2020-09-14,XLV,218,SELL
2020-09-14,XLF,198,SELL
2020-09-14,TLT,128,BUY
2020-09-21,XLU,269,SELL
2020-09-21,XLK,158,SELL
2020-09-21,XLB,161,BUY
2020-09-21,XLP,122,SELL
2020-09-21,XLY,173,SELL
2020-09-21,XLI,591,BUY
